Event Name,Format,Organizer,Start Date,City,Country,Description,URL
Cyber Leaders' Summit 2026,In Person,Cyber Leaders' Summit,2026-04-07,London,United Kingdom,"The Cyber Leaders’ Summit is an exclusive, invite-only event designed to bring together senior leaders from key industries - including retail, marketplaces, gaming, travel, and health - alongside professionals from the banking, financial services, and insurance (BFSI) sectors. Hosted across the UK, Europe, and the USA, the summit delivers cutting-edge content curated by the most influential experts in cybersecurity. It offers unparalleled networking opportunities and a platform for pre-qualified meetings with leading solution providers, fostering meaningful discussions and actionable strategies to tackle the evolving cyber threat landscape.",https://www.cyber-leaderssummit.com/
Gen AI Conference NYC 2026,In Person,auroconferences.com,2026-03-23,New York City,United States,"GenAI Conference is the ultimate platform for business leaders in AI, Machine Learning, Data, Innovation, and Technology to connect, learn, and lead. The event will feature expert speakers and an agenda packed with actionable insights on AI governance, generative agents, and driving measurable value for enterprises. Whether you’re looking to showcase your solutions to decision-makers or explore how generative AI can revolutionise your business, this is the event to be part of.",https://www.genaiconvention.com/
International Conference on Cyber Warfare and Security,Hybrid,Academic Conferences International,2026-03-05,Wilmington,United States,"The International Conference on Cyber Warfare and Security (ICCWS) is a prominent academic conference bringing together researchers, practitioners, and scholars to discuss and advance the field of cyber warfare and security. The conference serves as a platform for the exchange of ideas and the dissemination of cutting-edge research in cyber warfare and security.",https://www.academic-conferences.org/conferences/iccws/
Zero Trust World 2026,In Person,N/A,2026-03-04,Orlando,United States,"Zero Trust World provides education and training to support IT professionals. Through thought leadership and hands-on hacking labs, you’ll explore the threat landscape and what’s possible by changing your defense strategy to default-deny. Learn from experts, peers, hands-on exercises, hacking techniques, and understand what tools attackers use to bypass basic security tools all designed to improve your knowledge and skills as an IT professional.",https://ztw.com
Apres-Cyber Slopes Summit 2026,In Person,Apres-Cyber,2026-02-25,Park City,United States,"Dive into the future of AI and cybersecurity at the Après-Cyber Slopes Summit in Park City, Utah. Experience a unique blend of cutting-edge technology and luxury ski resort leisure. Elevate your expertise and network in an AI-driven Cybersecurity landscape. The event features dual-track briefings, hands-on training with AI & Cybersecurity Experts, and two days of cutting-edge AI x Cybersecurity Briefings.",https://www.aprescyber.com/
Cloud Security USA Conference,In Person,Auro Conferences Inc,2026-02-24,New York City,United States,"The Cloud Security USA Conference is an in-person annual gathering of senior IT professionals, cloud security experts & decision makers. Attendees will learn from experts, network with delegates, and stay ahead of the curve with insights from enterprise speakers. The agenda covers all aspects of Cloud implementation and allows attendees to craft a schedule to suit their networking needs.",https://www.cloudshowusa.com/
COSAC APAC 2026,In Person,COSAC,2026-02-24,Melbourne,Australia,"COSAC APAC 2026 invites free thinkers to an information security conference. Attendees will find no vendor displays or sales pitches, but instead an international community focused on challenging ideas. The event offers delegate registration packages including evening meals and receptions. The Call for Papers is open.",https://cosac.net/apac/
QCon AI 2025 | December 16-17,In Person,QCon,2025-12-16,New York,United States,QCon AI focuses on what's working—right now. Learn directly from senior engineers solving the hard problems of scaling AI in complex enterprise systems. Leave with patterns and confidence to build AI at scale.,https://ai.qconferences.com/medialisting2025
"FutureCon Cybersecurity Conference - Nashville, TN 2025",In Person,FutureCon Events,2025-12-10,Nashville,United States,"Join FutureCon in Nashville for a cybersecurity event to gain valuable insights into today’s dynamic threat landscape. Learn how to effectively manage risk, demo the newest technologies from an array of different sponsors, and network with your local community. The event features presentations, a panel discussion with C-level executives, and opportunities to interact with security leaders.",https://futureconevents.com/events/nashville-tn-2025
Defenders Tour: SecOps Workshop - Tampa,In Person,LimaCharlie,2025-12-10,Tampa,United States,"This hands-on workshop introduces a powerful architecture for modern security operations by integrating four complementary tools that address critical elements of the security lifecycle. Participants will learn how to build a scalable security foundation using LimaCharlie's SecOps Cloud Platform, enhance email threat protection with Sublime Security's behavioral analysis, and orchestrate security workflows through Tines' no-code automation platform. Attendees will leave with practical implementation strategies and real-world automation playbooks.",https://lu.ma/defenders-tour-tampa
IMF Academy: CISSP Certification Training,Hybrid,imfacademy,2025-12-09,Amsterdam,Netherlands,"The CISSP training is a comprehensive and compact review of information security concepts and industry best practices, and focuses on the 8 domains of the CISSP CBK (Common Body of Knowledge) that are covered in the CISSP exam. You will gain knowledge in information security that will increase your ability to successfully implement and manage security programs in any organization or government entity. Earning the CISSP title proves you have what it takes to effectively design, implement, and manage a best-in-class cybersecurity program. The 5-day training provides an intensive and complete preparation to ensure that you will pass the (ISC)2 CISSP exam at the very first attempt. Get ready for the rigorous exam by joining this 5-day CISSP training!",https://www.imfacademy.com/security-management/cissp.php
CIOMeet 2025: Detroit,In Person,CXO Inc.,2025-12-09,Detroit,United States,"CIOMeet by CXO Inc. collaborates a community of CIOs that instigate both innovation and growth within the organization they serve. Their events allow CIOs to discuss, debate, and challenge strategies through riveting panels, intimate roundtables, and 1:1 discussions.",https://www.ciomeet.org/
IMF Academy: Cost Estimating Foundation,Hybrid,IMF Academy,2025-12-08,Hague,Netherlands,"In this 4-day Cost Estimating training you will learn the basics of cost estimation, cost control and cost planning. Get the knowledge to identify major cost risks of engineering and join this Cost Estimating training!",https://www.imfacademy.com/industry/cost-estimating-foundation.php
Open Source Summit Japan 2025,In Person,Linux Foundation,2025-12-08,Tokyo,Japan,"Open Source Summit is the premier event for open source developers, technologists, and community leaders to collaborate, share information, solve problems, and gain knowledge, furthering open source innovation and ensuring a sustainable open source ecosystem. It is the gathering place for open-source code and community contributors.",https://events.linuxfoundation.org/open-source-summit-japan-2025/
AI_dev: Open Source GenAI & ML,In Person,events.linuxfoundation.org,2025-12-08,Tokyo,Japan,"AI_dev is a nexus for developers delving into the intricate realm of open source generative AI and machine learning. At the heart of this event is the belief that open source is the engine of innovation in AI. By uniting the brightest developers from around the world, we aim to ignite discussions, foster collaborations, and shape the trajectory of open source AI.",https://events.linuxfoundation.org/ai-dev-japan-2025/
BSIDES Cape Town 2025,In Person,BSides Cape Town,2025-12-06,Cape Town,South Africa,"BSides Cape Town is a grassroots cybersecurity conference, planned and run by the community. The event features talks, workshops, and a CTF, bringing together industry experts and attendees to expand boundaries in cybersecurity.",https://bsidescapetown.co.za/
FutureCon Cybersecurity Conference,In Person,futureconevents,2025-12-04,Austin,United States,"John has over 18 years of experience in Accounting Business Cycle and Information Technology including Cyber Security, SCADA and multiple applications, ERPs, Databases, and Infrastructure audits, SAP security control reviews, SAP role development and implementation, application control review and audit, internal audit, business processes controls reviews, financial audits, Sarbanes-Oxley, section 404 attest and readiness projects, such as (functional specs review, controls design, etc.), Compliance, and Cybersecurity consulting. His SAP experience includes ECC version 6.0. Also, John’s experience expands across multiple industries, including Financial Servers, Oil & Gas, Banking, Insurance, Healthcare, and Manufacturing.",https://futureconevents.com/events/austin-tx-2025
ERTL-YANG Leader Summit Dubai,In Person,ERTL-YANG,2025-12-04,Dubai,United Arab Emirates,"ERTL-YANG Leader Summits are designed for business executives across industries to discuss and share insights on key business issues and to grow and deepen their professional networks. Connect with high profile C-Suite Executives who share their stories and best practices focusing on the matter of enterprise technology priorities, highlighting topics from harnessing and integrating new technologies to rising security threats.",https://www.ertl-yang.com/summits-2025/ertl-yang-leader-summit-dubai/overview
Conf42: DevSecOps 2025,Virtual,Conf42,2025-12-04,London,United Kingdom,"Conf42 DevSecOps 2025 is an online event taking place on December 04, 2025. It offers free learning opportunities and community access with subscription options.",https://www.conf42.com/devsecops2025
CIOMeet 2025: Houston,In Person,CXO Inc.,2025-12-04,Houston,United States,"CIOMeet by CXO Inc. brings together a community of CIOs to discuss strategies through panels, roundtables, and 1:1 discussions. These events offer a forum for CIOs and IT Strategists to engage in profound discussions and rigorous examinations of Enterprise IT.",https://www.ciomeet.org/
SecureWorld: East Virtual Conference,Virtual,SecureWorld,2025-12-04,Portland,United States,"Join your security community to learn, collaborate, and grow—whether in-person or virtual. Earn 6-18 CPE credits through informative sessions led by industry experts, including keynotes, panel discussions, breakout sessions, and networking opportunities. Evaluate top vendor solutions and meet with local chapters of professional associations.",https://www.secureworld.io/events
CIO NetworX: Washington DC 2025,In Person,cxo-institute,2025-12-04,Washington,United States,"CIO NetworX is an exclusive event for CIOs and senior IT executives to connect, network, and share insights on the latest technology trends and challenges.",https://cxo-institute.com/our-events/cio-networx-washington-dc-dec-2025/
The Official Cybersecurity Summit: Jacksonville,In Person,Cybersecurity Summit,2025-12-04,Jacksonville,United States,"The 3rd Annual Jacksonville Cybersecurity Summit connects cybersecurity executives and practitioners with solution providers and information security experts. Admission offers access to interactive panels, discussions, catered meals, and a cocktail reception. Key topics include incident response, threat mitigation, and emerging security trends.",https://cybersecuritysummit.com/summit/jacksonville25/
Heliview State of Cybersecurity,In Person,heliview,2025-12-02,Stockholm,Sweden,"From AI-powered attacks and 6G-driven innovations to state-sponsored espionage and the shifting landscape of digital trust — the threats evolve, and so must we. During State of Cyber Security, top experts, decision-makers and industry pioneers will share real-world insights and bold strategies on how Sweden can stay ahead in an increasingly hostile digital world.",https://heliview.com/state-cyber-security-sweden/
IT Security Summit Munich,Hybrid,IT Security Summit,2025-12-01,Munich,Germany,"The IT Security Summit Munich is a hands-on conference focusing on Cloud, DevSecOps, Web, API, and AI-Driven Security. It offers workshops and sessions led by experts, covering topics like AI-powered security, cloud security, DevSecOps, and secure coding. Participants can gain in-depth knowledge and apply it in practice. The event includes exclusive offers and opportunities for networking.",https://it-security-summit.de/muenchen/
ERTL-YANG Leader Summit 2025: Zurich,In Person,ertl-yang,2025-11-27,Zurich,Switzerland,"Der CIO Summit war für mich eine sehr wertvolle Veranstaltung. Aktuelle Themen, Diskussionen aus verschiedenen Blickwinkeln durch Teilnehmer aus unterschiedlich großen Unternehmen und Branchen. Abgerundet wurde dies durch vertiefende Gespräche untereinander in den Pausen.",https://www.ertl-yang.com/summits-2025/ertl-yang-leader-summit-zurich/overview
CISSP certification training,Hybrid,imfacademy,2025-11-24,Amsterdam,Netherlands,"The CISSP training is a comprehensive and compact review of information security concepts and industry best practices, and focuses on the 8 domains of the CISSP CBK (Common Body of Knowledge) that are covered in the CISSP exam. You will gain knowledge in information security that will increase your ability to successfully implement and manage security programs in any organization or government entity. Earning the CISSP title proves you have what it takes to effectively design, implement and manage a best-in-class cybersecurity program. The 5-day training provides an intensive and complete preparation to ensure that you will pass the (ISC)2CISSP exam at the very first attempt. Get ready for the rigorous exam by joining this 5-day CISSP training!",https://www.imfacademy.com/security-management/cissp.php
MLcon Berlin 2025,Hybrid,The Event for Generative AI & Machine Learning Engineering,2025-11-24,Berlin,Germany,"MLcon Berlin 2025 is an event focused on Generative AI and Machine Learning Engineering, taking place both in Berlin and online from November 24-28, 2025, with expo days on November 27 & 28. Attendees can expect workshops, sessions, and keynotes from over 40 speakers, covering topics such as Advanced ML Development, ML Business & Strategy, and Generative AI & Large Language Models (LLMs).",https://mlconference.ai/berlin/
Certified Data Management Professional (CDMP),Hybrid,IMF Academy,2025-11-24,Amsterdam,Netherlands,Become a data management professional and join this 4-day training leading to the worldwide recognised Certified Data Management Professional (CDMP) title of DAMA International. The 4-day CDMP training is a comprehensive training program to help data-driven professionals prepare for the certification requirements of the official CDMP exam. The Certified Data Management Professional (CDMP) exam is based on the extensive DAMA-DMBoK2 and covers a variety (14) of (data) topics.,https://www.imfacademy.com/data-management/certified-data-management-professional.php
FutureCon Cybersecurity Conference,In Person,FutureCon Events,2025-11-20,Boston,United States,"Join FutureCon Events in Boston for a day with multiple illuminating presentations and a panel discussion featuring C-level executives. Attendees will learn how to effectively manage risk, demo the newest technologies, and discover cutting-edge security approaches to prepare for the future of the Cyber World.",https://futureconevents.com/events/boston-ma-2025
ERTL-YANG Leader Summit 2025 | Munich,In Person,ERTL-YANG,2025-11-20,Munich,Germany,"ERTL-YANG Leader Summits are designed for business executives across industries to discuss and share insights on key business issues and to grow and deepen their professional networks. The summit offers valuable executive exchanges, actionable insights, and opportunities to network. The event includes thought leadership sessions, professional networking, and private breakout roundtables.",https://www.ertl-yang.com/summits-2025/ertl-yang-leader-summit-munich/overview
Conf42: Robotics 2025,Virtual,Conf42,2025-11-20,London,United Kingdom,"Conf42 Robotics 2025 is an online event scheduled for November 20, 2025. It offers free learning opportunities and community access for a fee. The event includes keynotes, panels, and community features.",https://www.conf42.com/robotics2025
Generative AI Summit: Toronto,In Person,World AI Accelerator Institute,2025-11-20,Toronto,Canada,"Join the brightest minds in AI at the Generative AI Summit in Toronto, designed for engineers, builders & executives. This event offers a day of networking, learning, and discussion focused on conquering infrastructure blockers, assessing the latest AI applications, and connecting with influential engineering leaders. Attendees will gain insights into strategic roadmapping, ethics debates, and model optimization, fostering innovation and building a global community.",https://world.aiacceleratorinstitute.com/location/toronto
Transform Finance: FinCrime Leaders' Summit North America,In Person,Transform Finance,2025-11-20,New York City,United States,"The FinCrime Leaders' Summit North America brings together senior executives from compliance, KYC, fraud, and cybersecurity teams to discuss the latest solutions and innovations to tackle rapidly growing challenges in the fight against economic crime. Attendees can expect in-depth case studies, engaging discussions, and insights on emerging regulations and technologies.",https://www.transformfinance.media/fincrime-summit-north-america
IDC Security Summit: India 2025,In Person,IDC,2025-11-20,New Delhi,India,"The IDC Security Summit 2025 series will bring together leading security experts, researchers, and practitioners to explore the pivotal role of AI and quantum-proof technologies in securing the future.",https://www.idc.com/ap/events/become-a-sponsor/cybersecurity
